nome;uf;total_presencas
Paulo Litro;PR;99
Fred Linhares;DF;99
Pedro Westphalen;RS;99
Paulo Guedes;MG;99
Ana Pimentel;MG;99
Andreia Siqueira;PA;99
Albuquerque;RR;99
Alexandre Padilha;SP;99
Marangoni;SP;99
Marco Bertaiolli;SP;99
Zé Adriano;AC;99
Zezinho Barbary;AC;99
AJ Albuquerque;CE;98
Marcelo Moraes;RS;98
Marcelo Álvaro Antônio;MG;98
Marcio Alvino;SP;98
André Fernandes;CE;98
Alberto Fraga;DF;98
Alberto Mourão;SP;98
Altineu Côrtes;RJ;98
Valmir Assunção;BA;98
Vander Loubet;MS;98
Wilson Santiago;PB;98
Pezenti;SC;98
Pompeo de Mattos;RS;98
Paulo Freire Costa;SP;98
Flávio Nogueira;PI;98
Félix Mendonça Júnior;BA;98
Gilson Marques;SC;98
Gilvan da Federal;ES;98
Paulo Abi-Ackel;MG;98
Fabio Garcia;MT;98
Fabio Reis;SE;98
Prof. Paulo Fernando;DF;98
Rafael Fera;RO;98
Rafael Fera o Fiscal do Povo;RO;98
Fabio Schiochet;SC;98
Fausto Pinato;SP;98
Fernando Coelho Filho;PE;98
Fernando Rodolfo;PE;98
Paulão;AL;98
Eduardo da Fonte;PE;98
Elcione Barbalho;PA;98
Eli Borges;TO;98
Eliza Virgínia;PB;98
Elmar Nascimento;BA;98
Enfermeira Rejane;RJ;98
Eriberto Medeiros;PE;98
Pastor Gil;MA;98
Pastor Henrique Vieira;RJ;98
Gleisi Hoffmann;PR;98
Gustinho Ribeiro;SE;98
Helder Salomão;ES;98
Helio Lopes;RJ;98
Marcos Soares;RJ;98
Luiz Carlos Motta;SP;98
Luiz Fernando Vampiro;SC;98
Luiz Nishimori;PR;98
Luiz Philippe de Orleans e Bragança;SP;98
Luizianne Lins;CE;98
Lula da Fonte;PE;98
Rafael Prudente;DF;98
Raimundo Costa;BA;98
Reginaldo Lopes;MG;98
Hugo Motta;PB;98
Hélio Leite;PA;98
Isnaldo Bulhões Jr.;AL;98
Ivoneide Caetano;BA;98
Nilto Tatto;SP;98
Odair Cunha;MG;98
Luciano Bivar;PE;98
Dr. Luiz Ovando;MS;98
Reimont;RJ;98
Reinhold Stephanes;PR;98
Renata Abreu;SP;98
Ricardo Barros;PR;98
Marcon;RS;98
Marcos Aurélio Sampaio;PI;98
Lucio Mosquini;RO;98
Maria do Rosário;RS;98
Marussa Boldrin;GO;98
Matheus Noronha;CE;98
Jonas Donizette;SP;98
Detinha;MA;98
Diego Andrade;MG;98
Dimas Fabiano;MG;98
Dimas Gadelha;RJ;98
Domingos Neto;CE;98
Dorinaldo Malafaia;AP;98
Márcio Jerry;MA;98
Mário Negromonte Jr.;BA;98
José Airton Félix Cirilo;CE;98
José Priante;PA;98
Juarez Costa;MT;98
Rosangela Gomes;RJ;98
Roseana Sarney;MA;98
Rosângela Reis;MG;98
Rodrigo Gambale;SP;98
Rodrigo de Castro;MG;98
Rogéria Santos;BA;98
Delegada Ione;MG;98
Delegado Palumbo;SP;98
Delegado da Cunha;SP;98
Daniel Almeida;BA;98
Célia Xakriabá;MG;98
Da Vitoria;ES;98
Daniel Freitas;SC;98
Danilo Forte;CE;98
Darci de Matos;SC;98
